cx,cy
4,44
0,44
0,40
0,36
4,156
4,160
4,164
4,168
4,172
4,176
0,156
0,160
0,164
0,168
0,172
0,176
8,44
8,48
8,156
8,160
8,164
8,168
8,172
8,176
12,44
12,52
12,156
12,160
12,164
12,168
12,172
12,176
16,40
16,44
16,48
16,52
16,56
16,156
16,160
16,164
16,168
16,172
16,176
20,40
20,44
20,48
20,52
20,56
20,156
20,160
20,164
20,168
20,172
20,176
24,40
24,44
24,48
24,52
24,152
24,156
24,160
24,164
24,168
24,172
24,176
28,40
28,44
28,48
28,52
28,152
28,156
28,160
28,164
28,168
28,172
28,176
32,40
32,44
32,48
32,152
32,156
32,160
32,164
32,168
32,172
32,176
36,40
36,44
36,48
36,148
36,152
36,156
36,160
36,164
36,168
36,172
36,176
40,44
40,48
40,52
40,148
40,152
40,156
40,160
40,164
40,168
40,172
40,176
44,44
44,48
44,52
44,148
44,152
44,156
44,160
44,164
44,168
44,172
44,176
48,40
48,44
48,48
48,52
48,56
48,148
48,152
48,156
48,160
48,164
48,168
48,172
48,176
52,36
52,40
52,44
52,48
52,52
52,56
52,60
52,144
52,148
52,152
52,156
52,160
52,164
52,168
52,172
52,176
56,28
56,32
56,36
56,40
56,44
56,48
56,52
56,56
56,60
56,64
56,68
56,144
56,148
56,152
56,156
56,160
56,164
56,168
56,172
56,176
60,28
60,32
60,36
60,40
60,44
60,48
60,52
60,56
60,60
60,64
60,68
60,72
60,144
60,148
60,152
60,156
60,160
60,164
60,168
60,172
60,176
64,24
64,28
64,32
64,36
64,40
64,44
64,48
64,52
64,56
64,60
64,64
64,68
64,72
64,148
64,152
64,156
64,160
64,164
64,168
64,172
64,176
68,24
68,28
68,32
68,36
68,40
68,44
68,48
68,52
68,56
68,60
68,64
68,68
68,72
68,76
68,148
68,152
68,156
68,160
68,164
68,168
68,172
68,176
72,24
72,28
72,32
72,36
72,40
72,44
72,48
72,52
72,56
72,60
72,64
72,68
72,72
72,76
72,148
72,152
72,156
72,160
72,164
72,168
72,172
72,176
76,24
76,28
76,32
76,36
76,40
76,44
76,48
76,52
76,56
76,60
76,64
76,68
76,72
76,76
76,80
76,144
76,148
76,152
76,156
76,160
76,164
76,168
76,172
76,176
80,20
80,24
80,28
80,32
80,36
80,40
80,44
80,48
80,52
80,56
80,60
80,64
80,68
80,72
80,76
80,80
80,140
80,144
80,148
80,152
80,156
80,160
80,164
80,168
80,172
80,176
84,16
84,20
84,24
84,28
84,32
84,36
84,40
84,44
84,48
84,52
84,56
84,60
84,64
84,68
84,72
84,80
84,144
84,148
84,152
84,156
84,160
84,164
84,168
84,172
84,176
88,16
88,20
88,24
88,28
88,32
88,36
88,40
88,44
88,48
88,56
88,60
88,64
88,68
88,72
88,80
88,144
88,148
88,152
88,156
88,160
88,164
88,168
88,172
88,176
92,12
92,16
92,20
92,24
92,28
92,32
92,36
92,40
92,44
92,48
92,56
92,60
92,64
92,68
92,72
92,80
92,144
92,148
92,152
92,156
92,160
92,164
92,168
92,172
92,176
96,12
96,16
96,20
96,24
96,28
96,32
96,36
96,40
96,44
96,48
96,56
96,60
96,64
96,68
96,72
96,80
96,84
96,144
96,148
96,152
96,156
96,160
96,164
96,168
96,172
96,176
100,12
100,16
100,20
100,24
100,28
100,32
100,36
100,40
100,44
100,48
100,56
100,60
100,64
100,68
100,72
100,76
100,84
100,88
100,92
100,144
100,148
100,152
100,156
100,160
100,164
100,168
100,172
100,176
104,8
104,12
104,16
104,20
104,24
104,36
104,40
104,44
104,48
104,52
104,56
104,60
104,64
104,68
104,72
104,84
104,88
104,92
104,112
104,116
104,120
104,132
104,140
104,144
104,148
104,152
104,160
104,164
104,168
104,172
104,176
108,8
108,12
108,16
108,20
108,24
108,40
108,44
108,48
108,52
108,56
108,60
108,64
108,80
108,84
108,88
108,92
108,96
108,100
108,104
108,108
108,112
108,116
108,120
108,132
108,136
108,140
108,144
108,148
108,152
108,156
108,160
108,164
108,168
108,172
108,176
112,12
112,16
112,20
112,24
112,28
112,40
112,44
112,48
112,52
112,56
112,60
112,64
112,84
112,88
112,92
112,96
112,100
112,104
112,108
112,112
112,116
112,120
112,132
112,136
112,140
112,144
112,148
112,152
112,156
112,160
112,168
112,172
112,176
116,12
116,16
116,20
116,24
116,28
116,44
116,52
116,56
116,60
116,64
116,84
116,88
116,92
116,96
116,100
116,104
116,108
116,112
116,132
116,136
116,140
116,144
116,148
116,160
116,168
116,172
116,176
120,12
120,16
120,20
120,24
120,28
120,56
120,60
120,88
120,92
120,96
120,100
120,104
120,108
120,132
120,144
120,160
120,168
120,172
120,176
124,12
124,16
124,20
124,24
124,28
124,32
124,36
124,60
124,88
124,92
124,96
124,100
124,104
124,108
124,160
124,168
124,172
124,176
128,12
128,16
128,20
128,24
128,28
128,32
128,36
128,40
128,44
128,48
128,88
128,92
128,96
128,100
128,104
128,156
128,160
128,164
128,168
128,172
128,176
132,12
132,16
132,20
132,24
132,28
132,32
132,36
132,40
132,44
132,48
132,92
132,96
132,100
132,152
132,156
132,160
132,164
132,168
132,172
132,176
136,8
136,12
136,16
136,20
136,24
136,28
136,32
136,36
136,40
136,44
136,48
136,92
136,96
136,100
136,156
136,164
136,168
136,172
136,176
140,8
140,12
140,16
140,20
140,24
140,28
140,32
140,36
140,40
140,44
140,92
140,96
140,164
140,168
140,172
140,176
144,8
144,12
144,16
144,20
144,24
144,28
144,32
144,36
144,40
144,44
144,92
144,152
144,156
144,160
144,164
144,168
144,172
144,176
148,8
148,12
148,16
148,20
148,24
148,28
148,32
148,36
148,40
148,152
148,156
148,160
148,164
148,168
148,172
148,176
152,8
152,12
152,16
152,20
152,24
152,28
152,32
152,36
152,40
152,148
152,152
152,156
152,160
152,164
152,168
152,172
152,176
156,12
156,16
156,20
156,24
156,28
156,32
156,36
156,40
156,44
156,148
156,152
156,156
156,160
156,164
156,168
156,172
156,176
160,12
160,16
160,20
160,24
160,28
160,32
160,44
160,48
160,144
160,148
160,152
160,156
160,160
160,164
160,168
160,172
160,176
164,16
164,44
164,48
164,76
164,80
164,84
164,144
164,148
164,152
164,156
164,160
164,164
164,168
164,172
164,176
168,16
168,72
168,76
168,80
168,84
168,140
168,144
168,148
168,152
168,156
168,160
168,164
168,168
168,172
168,176
172,56
172,64
172,68
172,72
172,76
172,80
172,84
172,88
172,140
172,144
172,148
172,152
172,156
172,160
172,164
172,168
172,172
172,176
176,52
176,56
176,60
176,64
176,68
176,72
176,76
176,80
176,84
176,88
176,140
176,144
176,148
176,152
176,156
176,160
176,164
176,168
176,172
176,176
180,56
180,60
180,64
180,68
180,72
180,76
180,80
180,84
180,140
180,144
180,148
180,152
180,156
180,160
180,164
180,168
180,172
180,176
184,48
184,52
184,60
184,64
184,72
184,76
184,80
184,84
184,140
184,144
184,148
184,152
184,156
184,160
184,164
184,168
184,172
184,176
188,48
188,52
188,56
188,60
188,64
188,68
188,72
188,76
188,80
188,84
188,88
188,140
188,144
188,148
