time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-05-03T18:34:46.311Z,59.7697,-136.6851,0,2.3,ml,,,,0.74,ak,ak15890965,2017-05-03T18:38:59.746Z,"84km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-05-03T18:32:44.958Z,59.7012,-153.3279,106,2.8,ml,,,,0.54,ak,ak15890954,2017-05-03T18:38:59.477Z,"84km W of Anchor Point, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-05-03T18:30:31.649Z,59.822,-136.7889,0,2.8,ml,,,,0.68,ak,ak15890950,2017-05-03T18:35:29.727Z,"92km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-05-03T18:28:32.550Z,37.8828316,-122.2503357,9.57,0.78,md,12,120,0.005419,0.03,nc,nc72796320,2017-05-03T18:35:02.363Z,"2km ENE of Berkeley, California",earthquake,0.59,0.8,0.1,6,automatic,nc,nc
2017-05-03T18:27:25.450Z,33.5056667,-116.7925,4.18,0.32,ml,14,97,0.07533,0.2,ci,ci37639151,2017-05-03T18:31:08.605Z,"9km NE of Aguanga, California",earthquake,0.48,1.72,0.06,6,automatic,ci,ci
2017-05-03T18:23:35.610Z,33.5018333,-116.7901667,5.29,0.55,ml,21,75,0.07726,0.18,ci,ci37639143,2017-05-03T18:27:01.843Z,"9km NE of Aguanga, California",earthquake,0.31,1.22,0.093,16,automatic,ci,ci
2017-05-03T18:21:39.320Z,33.4936667,-116.7918333,5.51,1.25,ml,42,60,0.08481,0.16,ci,ci37639135,2017-05-03T18:32:19.770Z,"8km NE of Aguanga, California",earthquake,0.17,0.92,0.115,26,automatic,ci,ci
2017-05-03T18:20:05.305Z,59.8892,-136.7076,0,1.7,ml,,,,0.88,ak,ak15890947,2017-05-03T18:27:50.405Z,"92km WNW of Skagway, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-05-03T18:02:29.450Z,32.8984985,-117.5098343,1.72,1.44,ml,14,216,0.8587,0.25,ci,ci37639119,2017-05-03T18:04:47.608Z,"23km WNW of La Jolla, CA",earthquake,2.72,8.59,0.3,6,automatic,ci,ci
2017-05-03T17:54:18.180Z,38.8251648,-122.8101654,2.1,0.69,md,7,89,0.001769,0.02,nc,nc72796310,2017-05-03T18:00:06.242Z,"7km W of Cobb, California",earthquake,0.68,1.28,0.26,2,automatic,nc,nc
2017-05-03T17:51:31.500Z,33.5006667,-116.7905,5.77,0.43,ml,12,107,0.07838,0.05,ci,ci37639111,2017-05-03T17:55:12.554Z,"9km NE of Aguanga, California",earthquake,0.15,0.53,0.073,7,automatic,ci,ci
2017-05-03T17:50:34.610Z,33.496,-116.792,3.56,0.92,ml,35,36,0.08294,0.18,ci,ci37639103,2017-05-03T17:54:15.553Z,"8km NE of Aguanga, California",earthquake,0.2,0.77,0.115,25,automatic,ci,ci
