country,latitude,longitude,year,KILL,POLPRIS,TORT,ASSN,FORMOV,DOMMOV,SPEECH,ELECSD,RELFRE,WORKER
Afghanistan,33.93911,67.709953,1981,0,0,0,0,0,1,0,0,1,0
Afghanistan,33.93911,67.709953,1982,0,0,0,0,0,0,0,0,1,0
Afghanistan,33.93911,67.709953,1983,0,0,0,0,0,0,0,0,0,0
Afghanistan,33.93911,67.709953,1984,0,0,0,0,0,0,0,1,0,0
Afghanistan,33.93911,67.709953,1985,0,0,0,0,0,0,0,0,0,0
Afghanistan,33.93911,67.709953,1986,0,0,0,0,0,0,0,0,1,0
Afghanistan,33.93911,67.709953,1987,0,0,0,0,0,0,0,1,2,0
Afghanistan,33.93911,67.709953,1988,0,0,0,0,0,0,0,0,2,0
Afghanistan,33.93911,67.709953,1989,0,0,0,0,1,0,0,0,2,0
Afghanistan,33.93911,67.709953,1990,0,0,0,0,1,0,0,0,1,0
Afghanistan,33.93911,67.709953,1991,0,0,1,0,2,0,0,0,1,0
Afghanistan,33.93911,67.709953,1992,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
Afghanistan,33.93911,67.709953,1993,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
Afghanistan,33.93911,67.709953,1994,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
Afghanistan,33.93911,67.709953,1995,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
Afghanistan,33.93911,67.709953,1996,0,0,0,0,1,1,1,0,0,0
Afghanistan,33.93911,67.709953,1997,0,0,0,0,1,1,1,0,0,0
Afghanistan,33.93911,67.709953,1998,0,0,0,0,0,0,0,0,0,0
Afghanistan,33.93911,67.709953,1999,0,0,0,0,0,1,1,0,0,0
Afghanistan,33.93911,67.709953,2000,0,0,0,0,1,0,0,0,0,0
Afghanistan,33.93911,67.709953,2001,0,0,0,0,0,0,0,0,0,0
Afghanistan,33.93911,67.709953,2002,1,0,1,0,0,0,1,1,0,0
Afghanistan,33.93911,67.709953,2003,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66
Afghanistan,33.93911,67.709953,2004,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66
Afghanistan,33.93911,67.709953,2005,1,1,0,1,0,0,0,1,0,0
Afghanistan,33.93911,67.709953,2006,1,1,0,1,1,0,0,1,0,0
Afghanistan,33.93911,67.709953,2007,1,1,0,1,1,1,0,1,0,0
Afghanistan,33.93911,67.709953,2008,0,1,0,1,1,1,0,0,0,0
Afghanistan,33.93911,67.709953,2009,1,1,0,0,0,0,0,1,0,0
Afghanistan,33.93911,67.709953,2010,0,1,0,1,0,0,0,1,0,0
Afghanistan,33.93911,67.709953,2011,0,2,0,1,0,0,1,1,0,1
Albania,41.153332,20.168331,1981,0,0,0,0,0,0,0,0,0,0
Albania,41.153332,20.168331,1982,0,0,0,0,0,0,0,0,0,0
Albania,41.153332,20.168331,1983,0,0,0,0,0,0,0,0,0,0
Albania,41.153332,20.168331,1984,0,0,0,0,0,0,1,0,0,0
Albania,41.153332,20.168331,1985,-999,0,0,0,0,0,0,0,0,0
Albania,41.153332,20.168331,1986,-999,0,0,0,0,0,0,0,0,0
Albania,41.153332,20.168331,1987,-999,0,1,0,0,0,1,0,0,0
Albania,41.153332,20.168331,1988,-999,0,0,0,0,0,0,0,0,0
Albania,41.153332,20.168331,1989,-999,0,0,0,0,0,0,0,0,0
Albania,41.153332,20.168331,1990,1,0,0,0,0,0,1,1,0,0
Albania,41.153332,20.168331,1991,1,0,1,0,2,2,1,1,2,2
Albania,41.153332,20.168331,1992,2,1,1,1,2,2,1,1,1,1
Albania,41.153332,20.168331,1993,2,1,1,0,2,2,1,1,1,1
Albania,41.153332,20.168331,1994,2,2,1,1,2,2,1,2,2,2
Albania,41.153332,20.168331,1995,0,1,1,1,2,2,1,2,1,2
Albania,41.153332,20.168331,1996,1,1,0,1,2,2,1,0,1,2
Albania,41.153332,20.168331,1997,1,1,0,1,2,2,1,1,1,2
Albania,41.153332,20.168331,1998,1,1,1,2,2,2,1,2,2,1
Albania,41.153332,20.168331,1999,1,2,0,2,2,1,1,2,2,2
Albania,41.153332,20.168331,2000,1,0,0,1,2,2,1,1,1,1
Albania,41.153332,20.168331,2001,2,2,0,2,2,1,1,2,1,2
Albania,41.153332,20.168331,2002,2,2,0,2,2,2,1,2,2,1
Albania,41.153332,20.168331,2003,1,2,0,1,2,2,1,2,1,1
Albania,41.153332,20.168331,2004,1,2,1,1,2,2,1,2,2,1
Albania,41.153332,20.168331,2005,2,2,1,2,2,2,1,1,1,1
Albania,41.153332,20.168331,2006,2,2,0,2,2,2,1,1,2,1
Albania,41.153332,20.168331,2007,2,2,1,2,1,2,1,1,2,1
Albania,41.153332,20.168331,2008,2,2,1,2,2,2,2,1,2,1
Albania,41.153332,20.168331,2009,2,2,1,2,2,2,1,1,2,1
Albania,41.153332,20.168331,2010,2,2,1,2,2,2,1,1,2,1
Albania,41.153332,20.168331,2011,1,2,1,2,1,2,1,1,1,1
Algeria,28.033886,1.659626,1981,1,2,2,0,1,1,1,1,2,0
Algeria,28.033886,1.659626,1982,2,2,2,0,1,1,0,0,2,0
Algeria,28.033886,1.659626,1983,2,2,1,0,1,1,0,0,2,0
Algeria,28.033886,1.659626,1984,1,1,1,0,1,1,0,1,1,0
Algeria,28.033886,1.659626,1985,2,1,2,0,1,1,0,0,0,0
Algeria,28.033886,1.659626,1986,2,1,1,0,1,1,0,0,1,0
Algeria,28.033886,1.659626,1987,1,1,1,0,1,1,0,1,2,0
Algeria,28.033886,1.659626,1988,2,0,0,0,1,1,0,0,1,0
Algeria,28.033886,1.659626,1989,2,1,0,0,1,2,1,0,1,1
Algeria,28.033886,1.659626,1990,1,1,1,0,1,2,1,1,1,0
Algeria,28.033886,1.659626,1991,2,0,1,0,1,1,1,0,0,1
Algeria,28.033886,1.659626,1992,0,0,0,0,1,1,0,0,0,1
Algeria,28.033886,1.659626,1993,0,0,0,1,1,1,0,1,1,1
Algeria,28.033886,1.659626,1994,0,0,0,1,1,1,0,0,0,1
Algeria,28.033886,1.659626,1995,0,0,0,0,1,1,0,0,1,0
Algeria,28.033886,1.659626,1996,1,1,0,1,1,1,1,1,0,1
Algeria,28.033886,1.659626,1997,0,0,0,1,1,1,1,0,1,1
Algeria,28.033886,1.659626,1998,1,1,1,0,1,1,0,0,1,1
Algeria,28.033886,1.659626,1999,0,0,0,0,1,1,1,1,1,1
Algeria,28.033886,1.659626,2000,1,1,1,0,1,2,1,0,1,2
Algeria,28.033886,1.659626,2001,1,1,0,0,1,2,1,1,1,1
Algeria,28.033886,1.659626,2002,1,0,0,0,1,2,1,1,1,0
Algeria,28.033886,1.659626,2003,0,0,0,0,1,1,0,1,1,0
Algeria,28.033886,1.659626,2004,1,1,1,0,1,2,0,1,0,0
Algeria,28.033886,1.659626,2005,1,1,1,0,1,1,0,1,0,0
Algeria,28.033886,1.659626,2006,0,0,0,0,1,2,0,1,1,0
Algeria,28.033886,1.659626,2007,1,1,0,0,1,1,0,1,0,2
Algeria,28.033886,1.659626,2008,1,1,1,0,1,1,0,0,1,0
Algeria,28.033886,1.659626,2009,2,1,1,0,1,1,0,1,0,0
Algeria,28.033886,1.659626,2010,1,1,1,0,1,1,0,1,0,0
Algeria,28.033886,1.659626,2011,1,1,1,0,1,1,0,1,0,0
Andorra,42.546245,1.601554,1981,,,,,-999,-999,,,,
Andorra,42.546245,1.601554,1982,,,,,-999,-999,,,,
Andorra,42.546245,1.601554,1983,,,,,-999,-999,,,,
Andorra,42.546245,1.601554,1984,,,,,-999,-999,,,,
Andorra,42.546245,1.601554,1985,,,,,-999,-999,,,,
Andorra,42.546245,1.601554,1986,,,,,-999,-999,,,,
Andorra,42.546245,1.601554,1987,,,,,-999,-999,,,,
Andorra,42.546245,1.601554,1988,,,,,-999,-999,,,,
Andorra,42.546245,1.601554,1989,,,,,-999,-999,,,,
Andorra,42.546245,1.601554,1990,,,,,-999,-999,,,,
Andorra,42.546245,1.601554,1991,,,,,-999,-999,,,,
Andorra,42.546245,1.601554,1992,,,,,-999,-999,,,,
Andorra,42.546245,1.601554,1993,,,,,2,2,,,2,
Andorra,42.546245,1.601554,1994,,,,,2,2,,,2,
Andorra,42.546245,1.601554,1995,,,,,2,2,,,2,
Andorra,42.546245,1.601554,1996,,,,,2,2,,,2,
Andorra,42.546245,1.601554,1997,,,,,2,2,,,2,
Andorra,42.546245,1.601554,1998,,,,,2,2,,,2,
Andorra,42.546245,1.601554,1999,,,,,2,2,,,2,
Andorra,42.546245,1.601554,2000,,,,,2,2,,,2,
Andorra,42.546245,1.601554,2001,2,2,2,2,2,2,2,2,2,1
Andorra,42.546245,1.601554,2002,,,,,2,2,,,2,
Andorra,42.546245,1.601554,2003,2,2,2,2,2,2,1,2,2,1
Andorra,42.546245,1.601554,2004,2,2,2,2,2,2,2,2,2,1
Andorra,42.546245,1.601554,2005,2,2,2,2,2,2,2,2,2,1
Andorra,42.546245,1.601554,2006,2,2,2,2,2,2,2,2,2,1
Andorra,42.546245,1.601554,2007,2,2,2,2,2,2,2,2,2,0
Andorra,42.546245,1.601554,2008,2,2,2,2,2,2,2,2,2,0
Andorra,42.546245,1.601554,2009,2,2,2,2,2,2,2,2,2,0
Andorra,42.546245,1.601554,2010,2,2,2,2,2,2,2,2,2,0
Andorra,42.546245,1.601554,2011,2,2,2,2,2,2,2,2,2,0
Angola,-11.202692,17.873887,1981,1,0,2,0,0,1,0,0,1,0
Angola,-11.202692,17.873887,1982,0,0,0,0,0,1,0,0,1,0
Angola,-11.202692,17.873887,1983,0,0,0,0,1,1,0,0,2,0
Angola,-11.202692,17.873887,1984,0,0,1,0,0,0,0,0,0,0
Angola,-11.202692,17.873887,1985,1,0,2,0,1,1,0,0,1,0
Angola,-11.202692,17.873887,1986,1,0,1,0,1,0,0,0,1,0
Angola,-11.202692,17.873887,1987,0,0,1,0,1,0,0,0,0,0
Angola,-11.202692,17.873887,1988,1,0,1,0,1,0,0,0,1,0
Angola,-11.202692,17.873887,1989,0,0,0,0,0,0,0,0,1,0
Angola,-11.202692,17.873887,1990,0,1,1,1,0,0,1,0,0,0
Angola,-11.202692,17.873887,1991,0,0,1,1,2,1,1,0,2,1
Angola,-11.202692,17.873887,1992,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
Angola,-11.202692,17.873887,1993,0,0,1,1,1,1,1,0,2,1
Angola,-11.202692,17.873887,1994,0,1,0,0,0,1,0,0,2,0
Angola,-11.202692,17.873887,1995,1,0,0,0,0,0,0,0,0,0
Angola,-11.202692,17.873887,1996,0,0,0,0,0,1,0,0,2,0
Angola,-11.202692,17.873887,1997,0,0,0,0,1,1,0,0,2,0
Angola,-11.202692,17.873887,1998,0,1,0,0,0,0,0,0,2,1
Angola,-11.202692,17.873887,1999,0,2,0,0,1,0,0,0,2,0
Angola,-11.202692,17.873887,2000,0,1,0,1,2,0,0,0,2,1
Angola,-11.202692,17.873887,2001,0,1,0,0,1,0,0,0,2,0
Angola,-11.202692,17.873887,2002,0,2,0,1,2,0,0,0,2,0
Angola,-11.202692,17.873887,2003,0,2,0,1,1,0,1,1,2,0
Angola,-11.202692,17.873887,2004,0,2,0,1,1,0,1,1,2,0
Angola,-11.202692,17.873887,2005,1,1,0,1,1,0,1,1,1,0
Angola,-11.202692,17.873887,2006,1,1,0,1,1,0,1,1,2,0
Angola,-11.202692,17.873887,2007,0,1,0,1,0,0,1,1,1,1
Angola,-11.202692,17.873887,2008,1,1,0,0,0,0,0,1,2,1
Angola,-11.202692,17.873887,2009,1,0,0,0,0,0,1,1,1,0
Angola,-11.202692,17.873887,2010,1,1,0,1,0,0,0,1,2,1
Angola,-11.202692,17.873887,2011,1,1,1,0,0,1,1,1,1,0
Antigua and Barbuda,17.060816,-61.796428,1981,,,,,2,2,,,2,
Antigua and Barbuda,17.060816,-61.796428,1982,,,,,2,2,,,2,
Antigua and Barbuda,17.060816,-61.796428,1983,,,,,2,2,,,2,
Antigua and Barbuda,17.060816,-61.796428,1984,,,,,2,2,,,2,
Antigua and Barbuda,17.060816,-61.796428,1985,,,,,2,2,,,2,
Antigua and Barbuda,17.060816,-61.796428,1986,,,,,2,2,,,2,
Antigua and Barbuda,17.060816,-61.796428,1987,,,,,2,2,,,2,
Antigua and Barbuda,17.060816,-61.796428,1988,,,,,2,2,,,2,
Antigua and Barbuda,17.060816,-61.796428,1989,,,,,2,2,,,2,
Antigua and Barbuda,17.060816,-61.796428,1990,,,,,2,2,,,2,
Antigua and Barbuda,17.060816,-61.796428,1991,,,,,2,2,,,2,
Antigua and Barbuda,17.060816,-61.796428,1992,,,,,2,2,,,2,
Antigua and Barbuda,17.060816,-61.796428,1993,,,,,2,2,,,2,
Antigua and Barbuda,17.060816,-61.796428,1994,,,,,2,2,,,2,
Antigua and Barbuda,17.060816,-61.796428,1995,,,,,2,2,,,2,
Antigua and Barbuda,17.060816,-61.796428,1996,,,,,2,2,,,2,
Antigua and Barbuda,17.060816,-61.796428,1997,,,,,2,2,,,2,
Antigua and Barbuda,17.060816,-61.796428,1998,,,,,2,2,,,2,
Antigua and Barbuda,17.060816,-61.796428,1999,,,,,2,2,,,2,
Antigua and Barbuda,17.060816,-61.796428,2000,,,,,2,2,,,2,
Antigua and Barbuda,17.060816,-61.796428,2001,2,2,1,2,2,2,1,1,2,2
Antigua and Barbuda,17.060816,-61.796428,2002,,,,,2,2,,,2,
Antigua and Barbuda,17.060816,-61.796428,2003,2,2,1,2,2,2,1,1,2,2
Antigua and Barbuda,17.060816,-61.796428,2004,2,2,1,2,2,2,1,2,2,2
Antigua and Barbuda,17.060816,-61.796428,2005,2,2,1,2,2,2,1,2,2,2
Antigua and Barbuda,17.060816,-61.796428,2006,2,2,1,2,2,2,2,2,2,2
Antigua and Barbuda,17.060816,-61.796428,2007,2,2,1,2,2,2,1,2,2,2
Antigua and Barbuda,17.060816,-61.796428,2008,2,2,1,2,2,2,1,2,1,1
Antigua and Barbuda,17.060816,-61.796428,2009,2,2,1,2,2,2,2,2,2,1
Antigua and Barbuda,17.060816,-61.796428,2010,2,2,1,2,2,2,1,2,2,1
Antigua and Barbuda,17.060816,-61.796428,2011,2,2,1,2,2,2,1,2,2,2
Argentina,-38.416097,-63.616672,1981,0,0,0,1,1,2,1,0,1,1
Argentina,-38.416097,-63.616672,1982,1,1,1,2,2,2,1,1,1,1
Argentina,-38.416097,-63.616672,1983,1,2,1,2,2,2,2,2,0,1
Argentina,-38.416097,-63.616672,1984,1,1,2,1,2,2,1,1,1,1
Argentina,-38.416097,-63.616672,1985,2,2,1,1,2,2,2,2,1,2
Argentina,-38.416097,-63.616672,1986,2,2,2,2,2,2,2,2,1,2
Argentina,-38.416097,-63.616672,1987,1,1,2,2,2,2,1,1,2,2
Argentina,-38.416097,-63.616672,1988,2,1,1,2,2,2,2,2,1,2
Argentina,-38.416097,-63.616672,1989,2,2,1,2,2,2,2,2,1,2
Argentina,-38.416097,-63.616672,1990,1,2,0,2,2,2,2,2,2,2
Argentina,-38.416097,-63.616672,1991,1,2,1,2,2,2,2,2,2,1
Argentina,-38.416097,-63.616672,1992,2,2,1,2,2,2,1,2,1,2
Argentina,-38.416097,-63.616672,1993,1,2,1,2,2,2,1,2,0,2
Argentina,-38.416097,-63.616672,1994,1,2,0,2,2,2,0,2,2,1
Argentina,-38.416097,-63.616672,1995,1,2,2,2,2,2,2,2,2,1
Argentina,-38.416097,-63.616672,1996,1,1,1,2,2,2,1,2,2,2
Argentina,-38.416097,-63.616672,1997,1,1,1,2,2,2,1,2,2,2
